Artist Name,Artist ID,Popularity,Followers,Genres,Genre Queried,Artist Image
Jimin,1oSPZhvZMIrWW5I41kPkkY,89,9294756,k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5ebcb08296cca5a2d197caabb79
Stray Kids,2dIgFjalVxs4ThymZ67YCE,85,16689884,"k-pop, k-pop boy group, pop",k-pop,https://i.scdn.co/image/ab6761610000e5eb75237a1ba0379041476012b3
BTS,3Nrfpe0tUJi4K4DXYWgMUX,87,75617866,"k-pop, k-pop boy group, pop",k-pop,https://i.scdn.co/image/ab6761610000e5ebd642648235ebf3460d2d1f6a
Jung Kook,6HaGTQPmzraVmaVxvz6EUc,87,15867488,k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5eb40a7268dd742e5f63759b960
Jack Harlow,2LIk90788K0zvyj2JJVwkJ,79,3916510,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap",k-pop,https://i.scdn.co/image/ab6761610000e5eb2aab40ce03f3fa86163f78bb
NewJeans,6HvZYsbFfjnjFrWF950C9d,82,8908103,"k-pop, k-pop girl group",k-pop,https://i.scdn.co/image/ab6761610000e5eb80668ba2b15094d083780ea9
LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,80,5676116,k-pop girl group,k-pop,https://i.scdn.co/image/ab6761610000e5ebd7d7064b17d00c6f8755eae6
ENHYPEN,5t5FqBwTcgKTaWmfEbwQY9,81,9748043,"anime, k-pop boy group",k-pop,https://i.scdn.co/image/ab6761610000e5eb8665a74333bb3ca3fde5c06a
SEVENTEEN,7nqOGRxlXj7N2JYbgNEjYH,80,12086538,"k-pop, k-pop boy group",k-pop,https://i.scdn.co/image/ab6761610000e5eb9b445a3abb3dda380ec07243
LISA,5L1lO4eRHmJ7a0Q6csE5cT,82,8732879,k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5eb64defefe609189b5b3ddb0ad
BLACKPINK,41MozSoPIsD1dJM0CLPjZF,80,50763809,"k-pop, k-pop girl group, pop",k-pop,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c
aespa,6YVMFz59CuY7ngCxTxjpxE,80,6279255,k-pop girl group,k-pop,https://i.scdn.co/image/ab6761610000e5eb573935eb61a1897aeb43c531
TOMORROW X TOGETHER,0ghlgldX5Dd6720Q3qFyQB,78,10442340,"k-pop, k-pop boy group",k-pop,https://i.scdn.co/image/ab6761610000e5eb3835e2ba41427e8356bbd091
TWICE,7n2Ycct7Beij7Dj7meI4X0,79,20694023,"k-pop, k-pop girl group, pop",k-pop,https://i.scdn.co/image/ab6761610000e5eb0c6952f39ba680489149a54c
ATEEZ,68KmkJeZGfwe1OUaivBa2L,74,4196548,"k-pop, k-pop boy group",k-pop,https://i.scdn.co/image/ab6761610000e5ebf8ae485831cf4c3a568dc313
JENNIE,250b0Wlc5Vk0CoUsaCY84M,78,7137780,k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5ebd95cf4457fac4cc62311f84f
Tech N9ne,6UBA15slIuadJ8h2lPRPos,69,2787434,"detroit hip hop, kansas city hip hop, pop rap",k-pop,https://i.scdn.co/image/ab6761610000e5eb8b1697a78fbe50647333a84f
wave to earth,5069JTmv5ZDyPeZaCCXiCg,75,2955412,korean city pop,k-pop,https://i.scdn.co/image/ab6761610000e5eb35f487d9b8e8cd6d7f321980
(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,75,9601641,k-pop girl group,k-pop,https://i.scdn.co/image/ab6761610000e5eb7fd16327c86d500f83be1d6a
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,73,9197797,"k-pop, k-pop girl group",k-pop,https://i.scdn.co/image/ab6761610000e5eb02a562ea6b1dc718394010ac
KISS OF LIFE,4TEK9tIkcoxib4GxT3O4ky,73,1236045,"5th gen k-pop, k-pop girl group",k-pop,https://i.scdn.co/image/ab6761610000e5eb77f6a3aedfcc4eba07fa14b3
IVE,6RHTUrRF63xao58xh9FXYJ,74,4488793,k-pop girl group,k-pop,https://i.scdn.co/image/ab6761610000e5eb8939960e5144b51d7903899f
KATSEYE,3c0gDdb9lhnHGFtP4prQpn,71,270606,5th gen k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5eb031e8e2a9c4893810a02f863
ILLIT,36cgvBn0aadzOijnjjwqMN,72,1392930,5th gen k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5eb5884b5e3bdc71d42b62bfcfd
BABYMONSTER,1SIocsqdEefUTE6XKGUiVS,75,2356630,5th gen k-pop,k-pop,https://i.scdn.co/image/ab6761610000e5ebc88257a512bc6cec18b7bc12
XG,0LOK81e9H5lr61HlGGHqwA,71,1659607,k-pop girl group,k-pop,https://i.scdn.co/image/ab6761610000e5eb450f7ba269d8a1ac6729081e
j-hope,0b1sIQumIAsNbqAoIClSpy,72,18003179,"k-pop, k-rap",k-pop,https://i.scdn.co/image/ab6761610000e5ebeb746063d1aafa2817ea11b5
Dave Stewart,7gcCQIlkkfbul5Mt0jBQkg,71,44439,"new wave pop, rock keyboard",k-pop,https://i.scdn.co/image/ab6761610000e5eb94fdf3ac086d95c63d93772e
IU,3HqSLMAZ3g3d5poNaI7GOU,71,8714583,"k-pop, pop",k-pop,https://i.scdn.co/image/ab6761610000e5ebbd0642ff425698afac5caffd
NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,74,7848563,k-pop boy group,k-pop,https://i.scdn.co/image/ab6761610000e5eba34109c12fce3cb615060043
NCT 127,7f4ignuCJhLXfZ9giKT7rH,70,7476087,"k-pop, k-pop boy group",k-pop,https://i.scdn.co/image/ab6761610000e5ebdc904dcc7399f1fd90107392
NMIXX,28ot3wh4oNmoFOdVajibBl,70,3023949,"k-pop, k-pop girl group",k-pop,https://i.scdn.co/image/ab6761610000e5eb2b9446440d296ce32189024e
Loco,2e4G04F77jxVuDYo44TCSm,71,469030,"k-pop, k-rap, korean r&b",k-pop,https://i.scdn.co/image/ab6761610000e5eb29971b8d9d19fef176338e4a
ITZY,2KC9Qb60EaY0kW4eH68vr3,70,7580456,"k-pop, k-pop girl group",k-pop,https://i.scdn.co/image/ab6761610000e5ebb0e2700dbc17b43328038f7a
