Track Name,Track ID,Duration (ms),Popularity,Track Number,URI,Album Name,Album ID,Artists,Genre Queried,Track Image
Who,7tI8dRuH2Yc6RuoTjxo4dU,170887,94,6,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec
Who,32lSgbCqRcIOyUSnfuUZEQ,170887,90,6,spotify:track:32lSgbCqRcIOyUSnfuUZEQ,MUSE (WANDER ver.),4wfwJUghbK2z2iaz65U7VS,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b27382601539d4a27061ad90eacb
Who,5wPnPIZS8wr4lPNLz4qvHK,170887,89,6,spotify:track:5wPnPIZS8wr4lPNLz4qvHK,MUSE (WONDER ver.),5AQc0yFXRcdUdko4sZ1fW9,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b273f150d9f2e5e8148e5032fd7d
Who,1yqdD2ScjkqvaNBUzPQ4vR,170887,89,1,spotify:track:1yqdD2ScjkqvaNBUzPQ4vR,Who (Remixes),7KIwUrSiA0gc9WlI7AYIfZ,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b2737f35adfbec3bb2bc8256802b
Lovin On Me,4xhsWYTOGcal8zt0J161CU,138411,83,1,spotify:track:4xhsWYTOGcal8zt0J161CU,Lovin On Me,6VCO0fDBGbRW8mCEvV95af,Jack Harlow,k-pop,https://i.scdn.co/image/ab67616d0000b273fcf4adae77baba5d0169e8e8
New Woman (feat. ROSALÍA),7ov3TDp5D00Rnu5R1viX4w,179789,92,1,spotify:track:7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),2ha4ucrONN0cihLMkP02Ch,"LISA, ROSALÍA",k-pop,https://i.scdn.co/image/ab67616d0000b2737c451a4f06288da6edf050c1
Chk Chk Boom,09keT5ocFhEd5W5HidiUNq,148051,86,2,spotify:track:09keT5ocFhEd5W5HidiUNq,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,https://i.scdn.co/image/ab67616d0000b27351700837cdbc6adddb88560a
Rockstar,6vvPecFTmWxDfEJ6cYT1wa,138213,90,1,spotify:track:6vvPecFTmWxDfEJ6cYT1wa,Rockstar,7wIIhHPyaxAHRvdNQQO2G9,LISA,k-pop,https://i.scdn.co/image/ab67616d0000b27397265410628ab7f94a380c9d
Touch,6aJn7Cst74cj4lNIiPRgav,129882,83,1,spotify:track:6aJn7Cst74cj4lNIiPRgav,Touch,1hjqg3TuQ2YqooaPhxHwdv,KATSEYE,k-pop,https://i.scdn.co/image/ab67616d0000b2737e76c17cfbc723800452a24f
Magnetic,1aKvZDoLGkNMxoRYgkckZG,160688,86,2,spotify:track:1aKvZDoLGkNMxoRYgkckZG,SUPER REAL ME,6irebIc6UO8fN0jl4UlzBS,ILLIT,k-pop,https://i.scdn.co/image/ab67616d0000b273f037c5fb9de6c78726cb8e2c
