Track Name,Track ID,Duration (ms),Track Popularity,Track Number,URI,Album Name,Album ID,Artist Name,Track GQ,Artist ID,Artist Popularity,Followers,Genres,Artist GQ
Who,7tI8dRuH2Yc6RuoTjxo4dU,170887,94,6,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Who,32lSgbCqRcIOyUSnfuUZEQ,170887,89,6,spotify:track:32lSgbCqRcIOyUSnfuUZEQ,MUSE (WANDER ver.),4wfwJUghbK2z2iaz65U7VS,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Who,5wPnPIZS8wr4lPNLz4qvHK,170887,89,6,spotify:track:5wPnPIZS8wr4lPNLz4qvHK,MUSE (WONDER ver.),5AQc0yFXRcdUdko4sZ1fW9,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Who,1yqdD2ScjkqvaNBUzPQ4vR,170887,89,1,spotify:track:1yqdD2ScjkqvaNBUzPQ4vR,Who (Remixes),7KIwUrSiA0gc9WlI7AYIfZ,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Be Mine,3LWVXp636uLT356Rj08Jaz,207347,82,5,spotify:track:3LWVXp636uLT356Rj08Jaz,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,212241,80,3,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,FACE,4xc3Lc9yASZgEJGH7acWMB,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Be Mine (English Version),4DairgmwgyfmFHm0e7kRPL,207723,80,1,spotify:track:4DairgmwgyfmFHm0e7kRPL,Be Mine (English Version),7EGoWlfxvnwpTamkoOhWcb,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Be Mine,59ldd5koyBqo1vFp6MusW1,207347,74,5,spotify:track:59ldd5koyBqo1vFp6MusW1,MUSE (WONDER ver.),5AQc0yFXRcdUdko4sZ1fW9,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Rebirth (Intro),7gMfVc4zfNIxuMyMGglOHa,144624,77,1,spotify:track:7gMfVc4zfNIxuMyMGglOHa,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Interlude : Showtime,45zLrK0668WQ5JFMyiYmCS,78492,76,2,spotify:track:45zLrK0668WQ5JFMyiYmCS,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Closer Than This,6qafqn8bBMy7t5c5WqpyRk,223301,77,7,spotify:track:6qafqn8bBMy7t5c5WqpyRk,MUSE,15XcLhiVMlSOipUddTNDnr,Jimin,k-pop,1oSPZhvZMIrWW5I41kPkkY,89,9259607,k-pop,k-pop
Chk Chk Boom,09keT5ocFhEd5W5HidiUNq,148051,86,2,spotify:track:09keT5ocFhEd5W5HidiUNq,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
I Like It,04A4WyCRyHQ8Nb3u3IsfzH,148632,78,4,spotify:track:04A4WyCRyHQ8Nb3u3IsfzH,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
JJAM,6ojfWEW5oBSyXQqO9G72iM,185527,77,3,spotify:track:6ojfWEW5oBSyXQqO9G72iM,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
SLASH (From “Deadpool & Wolverine”),2MKGrYH1PyPAUKu2Sl8IaT,191626,76,1,spotify:track:2MKGrYH1PyPAUKu2Sl8IaT,SLASH (From “Deadpool & Wolverine”),7pu8cy2ZNnN2rlLlkXXwq9,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
LALALALA,1OG1NoKpZZLrMqMYCk9m84,182224,76,2,spotify:track:1OG1NoKpZZLrMqMYCk9m84,ROCK-STAR,0aJnGEZWIc1VCYlZOXv05a,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
MOUNTAINS,0MvgUGhKvrStBo2XsPuwt6,187545,76,1,spotify:track:0MvgUGhKvrStBo2XsPuwt6,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
Runners,4tIAHpF340zdoCCIBFcyit,196684,73,5,spotify:track:4tIAHpF340zdoCCIBFcyit,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
Stray Kids,08H8CT32rALUZvL8TE4ruD,189050,74,7,spotify:track:08H8CT32rALUZvL8TE4ruD,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
God’s Menu,4XPXrcpyNr30Km6aPiflJy,167922,73,2,spotify:track:4XPXrcpyNr30Km6aPiflJy,GO LIVE,6DWLIzvmiLPAuDWYZqrLQo,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
twilight,1T0hdoMSjzoKUPbKRmrDg3,192777,72,6,spotify:track:1T0hdoMSjzoKUPbKRmrDg3,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
Chk Chk Boom (Festival Ver.),5yye6RvxPOo8YU0fYWQpNn,153347,73,8,spotify:track:5yye6RvxPOo8YU0fYWQpNn,ATE,3WdsoMKRqtw5Sgg67YrpnY,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
S-Class,3gTQwwDNJ42CCLo3Sf4JDd,195688,73,2,spotify:track:3gTQwwDNJ42CCLo3Sf4JDd,5-STAR,3Pel3gWsPxVpZVrciU0Fm6,Stray Kids,k-pop,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
MANIAC,63irPUP3xB74fHdw1Aw9zR,182757,72,2,spotify:track:63irPUP3xB74fHdw1Aw9zR,ODDINARY,0Gmf4pfe0POEQq2FgGAj2q,Stray Kids,k-pop boy group,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
MEGAVERSE,5Q1tv4GTxP3IJeGMOKdrFO,185520,71,1,spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,ROCK-STAR,0aJnGEZWIc1VCYlZOXv05a,Stray Kids,k-pop boy group,2dIgFjalVxs4ThymZ67YCE,85,16608856,k-pop,k-pop
